symbol,regime,net_expectancy,trades,win_rate,cost_avg
017800,CHOP_HIGHVOL,-0.0009848153498386585,43,0.4418604651162791,0.0028
017800,CHOP_LOWVOL,-0.0029297981086983463,1515,0.26798679867986797,0.0028
017800,PANIC,-0.0035305497776477518,24,0.4583333333333333,0.0028
003490,TREND_UP,0.0060691796008869175,1,1.0,0.0028
003490,CHOP_LOWVOL,-0.002955144147189114,1933,0.24418003103983446,0.002799999999999999
003490,PANIC,-0.004325143908971901,13,0.23076923076923078,0.0027999999999999995
009150,TREND_UP,-0.00041186275130258463,3,0.6666666666666666,0.0028
009150,CHOP_HIGHVOL,-0.0021830948869765725,35,0.2857142857142857,0.0027999999999999995
009150,CHOP_LOWVOL,-0.002464814884458469,1253,0.2737430167597765,0.0028
009150,PANIC,-0.005063065974147279,26,0.3076923076923077,0.0027999999999999995
0009K0,TREND_UP,-0.07999928186714542,1,0.0,0.0028
0009K0,CHOP_HIGHVOL,-0.014153438940839546,15,0.06666666666666667,0.002799999999999999
0009K0,CHOP_LOWVOL,-0.0068421119253495415,6,0.5,0.0028
0009K0,PANIC,0.198036820083682,1,1.0,0.0028
082740,TREND_UP,-0.028174734943576495,2,0.0,0.0028
082740,CHOP_HIGHVOL,-0.0014460520959641695,107,0.3644859813084112,0.0028000000000000004
082740,CHOP_LOWVOL,-0.0026436041687948647,1175,0.2876595744680851,0.0028
082740,PANIC,-0.0027559917034392202,28,0.35714285714285715,0.0027999999999999995
003670,TREND_UP,0.013477950606828961,4,0.25,0.0028
003670,TREND_DOWN,-0.01004330700158655,1,0.0,0.0028
003670,CHOP_HIGHVOL,-0.007766614498180241,37,0.16216216216216217,0.0027999999999999995
003670,CHOP_LOWVOL,-0.0026787495618107544,1101,0.2742960944595822,0.0028
003670,PANIC,-0.0029584851559209153,23,0.30434782608695654,0.0027999999999999995
326030,TREND_UP,-9.302325581395272e-06,1,1.0,0.0028
326030,CHOP_HIGHVOL,-0.01456292403667526,7,0.14285714285714285,0.0028
326030,CHOP_LOWVOL,-0.0027358587720170704,1316,0.27887537993920974,0.0028
